Part code,ชื่อวัสดุ,หน่วยนับ,จำนวนขั้นต่ำ,ประเภทสินค้า,กลุ่ม/หมวดหมู่สินค้า,cost center,work center,account code,activity code,Images,ราคาวัสดุ(AVG COST),หน่วยนับ(ย่อย),2 หน่วยนับ,ตัวคำนวน,,
BIF81100054,Nozzlen (220975),EA,10,Consumable,อุปกรณ์งานตัด,811,680,56130,,,360,,FALSE,,,
BIF81100055,ลวดเชื่อมไฟฟ้า RB- 26 2.6 x 350mm ( 1 EA = 1000 เส้น),EA,10,Consumable,อุปกรณ์งานเชื่อม,811,680,56130,,,1000,Small Box,FALSE,5,,
BIF81100056,ลวดเชื่อมไฟฟ้า LB -52 LB 3.2x350mm ( 1 EA = 1000 เส้น),EA,10,Consumable,อุปกรณ์งานเชื่อม,811,680,56130,,,1060,,FALSE,,,
BIF81100057,ใบเจียรบาง 4 นิ้ว (25 Pcs/Box),Box,50,Consumable,อุปกรณ์งาน เจียร์,811,680,56130,,,237,PCS,TRUE,25,,Remark : แก้ไขหน่วย บน Oracle เป็น EA แต่การใช้งานเป็น BOX
BIF81100058,อินซูเลเตอร์ 350amp.,EA,10,Consumable,Spare part,811,680,56130,,,80,,FALSE,,,
BIF81100059,"แปรงถ่านหินเจียร DEWALT. 4""",EA,10,Consumable,Spare part,811,680,56130,,,260,,FALSE,,,
BIF81100060,แปรงถ่านหินเจียร MAKITA.,EA,10,Consumable,Spare part,811,680,56130,,,180,,FALSE,,,
BIF81100061,"แปรงถ่านหินเจียร ฮิตาชิ 7""",EA,10,Consumable,Spare part,811,680,56130,,,60,,FALSE,,,
BIF81100062,Hypertherm Cartridge (428926) 30-45A.,PCS,30,Consumable,Spare part,811,680,56130,,,2125,,FALSE,,,
BIF81100063,Hypertherm Cartridge (428930) 65A.,PCS,30,Consumable,Spare part,811,680,56130,,,1955,,FALSE,,,
BIF81100064,Nozzle Pana Mig 350 A.,PCS,12,Consumable,Spare part,811,680,56130,,,90,,FALSE,,,
BIF81100065,ปากกา SOLID MARKER (สีเหลือง),EA,5,Consumable,Stationary (อุปกรณ์เครื่องเขียน),811,680,62401,,,100,,FALSE,,,Remark : แก้ไขหน่วย บน Oracle เป็น EA แต่การใช้งานเป็น BOX
BIF81100066,ปากกา SOLID MARKER (สีน้ำเงิน),EA,5,Consumable,Stationary (อุปกรณ์เครื่องเขียน),811,680,62401,,,100,,FALSE,,,Remark : แก้ไขหน่วย บน Oracle เป็น EA แต่การใช้งานเป็น BOX
BIF81100067,ปากกา SOLID MARKER (สีขาว),EA,5,Consumable,Stationary (อุปกรณ์เครื่องเขียน),811,680,62401,,,100,,FALSE,,,Remark : แก้ไขหน่วย บน Oracle เป็น EA แต่การใช้งานเป็น BOX
BIF81100068,แผ่นเคลือบบัตร A3,EA,10,Consumable,Stationary (อุปกรณ์เครื่องเขียน),811,680,62401,,,580,,FALSE,,,
BIF81100069,แผ่นเคลือบบัตร A4,EA,10,Consumable,Stationary (อุปกรณ์เครื่องเขียน),811,680,62401,,,280,,FALSE,,,
BIF81100070,ปากกายูนิเพ็นท์ (สีขาว),Dozen,5,Consumable,Stationary (อุปกรณ์เครื่องเขียน),811,680,62401,,,600,,FALSE,,,
BIF81100071,ปากกายูนิเพ็นท์ (สีเหลือง),Dozen,5,Consumable,Stationary (อุปกรณ์เครื่องเขียน),811,680,62401,,,600,,FALSE,,,
BIF81100072,เทปกาวหนังไก่,Box,5,Consumable,Stationary (อุปกรณ์เครื่องเขียน),811,680,62401,,,820,,FALSE,,,
BIF81100073,สเปรย์สีขาว ติดทนนาน,CAN,10,Consumable,อุปกรณ์งานสี,811,680,56130,,,75,,FALSE,,,Remark : แก้ไขหน่วย บน Oracle เป็น Can แต่การใช้งานเป็น EA
BIF81100074,ไม้กวาดดอกหญ้า,EA,10,Consumable,Office supply (อุปกรณ์สำนักงาน),811,680,62404,,,30,,FALSE,,,
BIF81100075,ไม้กวาดทางมะพร้าว,EA,10,Consumable,Office supply (อุปกรณ์สำนักงาน),811,680,62404,,,43,,FALSE,,,
BIF81100076,ถุงขยะดำ 40x60(แพ็ค),Pack,10,Consumable,Office supply (อุปกรณ์สำนักงาน),811,680,62404,,,50,,FALSE,,,
BIF81100077,"DIES BSW 1"" N-ALL0Y ASADA (ขวา)",SET,2,Consumable,Spare part,811,680,56130,,,3150,,FALSE,,,
BIF81100078,"DIES BSW 3/4"" N-ALL0Y ASADA (ขวา)",SET,2,Consumable,Spare part,811,680,56130,,,3150,,FALSE,,,
BIF81100079,"DIES BSW 5/8"" N-ALL0Y ASADA (ขวา)",SET,2,Consumable,Spare part,811,680,56130,,,3150,,FALSE,,,
BIF81100080,"DIES BSW 1"" N-ALL0Y ASADA (ซ้าย)",SET,2,Consumable,Spare part,811,680,56130,,,3150,,FALSE,,,
BIF81100081,"DIES BSW 3/4"" N-ALL0Y ASADA  (ซ้าย)",SET,2,Consumable,Spare part,811,680,56130,,,3150,,FALSE,,,
BIF81100082,"DIES BSW 5/8"" N-ALL0Y ASADA  (ซ้าย)",SET,2,Consumable,Spare part,811,680,56130,,,3150,,FALSE,,,
BIF81100083,ปลั๊กยางตัวเมีย,EA,5,Consumable,อุปกรณ์ไฟฟ้า,811,680,68162,,,,,FALSE,,,
BIF81100084,ปลั๊กพาวเวอร์ตัวผู้,EA,5,Consumable,อุปกรณ์ไฟฟ้า,811,680,68162,,,,,FALSE,,,
BIF81100085,ปลั๊กยางตัวผู้ 3 ขา,EA,5,Consumable,อุปกรณ์ไฟฟ้า,811,680,68162,,,,,FALSE,,,
BIF81100086,สายไฟ VCT,ROL,1,Consumable,อุปกรณ์ไฟฟ้า,811,680,68162,,,,,FALSE,,,
BIF81100087,สตาร์ทเตอร์,Dozen,1,Consumable,อุปกรณ์ไฟฟ้า,811,680,68162,,,,,FALSE,,,
BIF81100088,เทปพันสายไฟ,Dozen,1,Consumable,อุปกรณ์ไฟฟ้า,811,680,68162,,,156,,FALSE,,,
BIF81100089,ชุดหลอดไฟพร้อมโคม 36 วัต,SET,10,Consumable,Safety,811,680,68162,,,,,FALSE,,,
BIF81100090,ชุดนิรภัยเต็มตัว,EA,10,Consumable,Safety,811,680,62405,,,6000,,FALSE,,,
BIF81100091,กระจกเชื่อมใส,PCS,20,Consumable,Safety,811,680,62405,,,4.5,,FALSE,,,
BIF81100092,ถุงมือหนังงานเชื่อม ยาว16 นิ้ว,PAIR,10,Consumable,Safety,811,680,62405,,,275,,FALSE,,,Remark : แก้ไขหน่วย บน Oracle เป็น Pair แต่การใช้งานเป็น EA
BIF81100093,เชือกมะนิลา หนา 20 มม. ยาว20ม.,PCS,1,Consumable,Safety,811,680,62405,,,750,,FALSE,,,
BIF81100094,PUMPKIN หน้ากากเชื่อม ปรับแสงอัตโนมัติ,PCS,2,Consumable,Safety,811,680,62405,,,,,FALSE,,,
BIF81100095,ดอกเจ็ทบอส เบอร์ 26,EA,5,Consumable,Spare part,811,680,56130,,,,,FALSE,,,
BIF81100096,ดอกเจ็ทบอส เบอร์ 30,EA,5,Consumable,Spare part,811,680,56130,,,,,FALSE,,,
BIF81100097,ดอกเจ็ทบอส เบอร์ 34,EA,5,Consumable,Spare part,811,680,56130,,,,,FALSE,,,
BIF81100098,ดอกเจ็ทบอส เบอร์ 38,EA,5,Consumable,Spare part,811,680,56130,,,,,FALSE,,,
BIF81100099,แกนนำศูนย์ แจ็คบอส 18mm.,EA,3,Consumable,Spare part,811,680,56130,,,,,FALSE,,,
BIF81100100,แกนนำศูนย์ แจ็คบอส 22mm.,EA,3,Consumable,Spare part,811,680,56130,,,,,FALSE,,,
BIF81100101,หินเจียระไนแกน คอตรง (หัวทราย),PCS,10,Consumable,อุปกรณ์งาน เจียร์,811,680,56130,,,29,,FALSE,,,
BIF81100102,หินเจียระไนแกน คอแหลม (หัวทราย),PCS,10,Consumable,อุปกรณ์งาน เจียร์,811,680,56130,,,33,,FALSE,,,
BIF81100103,ใบเจียรหนา 7 นิ้ว (25 Pcs/Box),Box,10,Consumable,อุปกรณ์งาน เจียร์,811,680,56130,,,700,PCS,TRUE,25,,
BIF81100104,ใบเจียรหนา 4 นิ้ว (25 Pcs/Box),Box,10,Consumable,อุปกรณ์งาน เจียร์,811,680,56130,,,320,PCS,TRUE,25,,
BIF81100105,ฟิล์มยึดพันพาเลท,EA,10,Consumable,อุปกรณ์งาน Pack,811,680,,,,1128,,FALSE,,,
BIF81100106,ถุงมือผ้าสีเทาขนาด 7 ขีด,Dozen,10,Consumable,Safety,811,680,62405,,,55,,FALSE,,,
BIF81100107,สายลมแก็ส,ROL,1,Consumable,Spare part,811,680,62405,,,,,FALSE,,,
BIF81100108,เข็มขัดรัดท่อ 1 นิ้ว,PCS,10,Consumable,Spare part,811,680,62405,,,12,,FALSE,,,
BIF81100109,คอปเปอร์ลมตัวผู้ หางปลาไหล ขนาด 30ph.,PCS,10,Consumable,Spare part,811,680,62405,,,,,FALSE,,,
